City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,0.8,55,100,3.6,US,1741058408
1,holualoa,19.6228,-155.9522,24.91,70,100,3.6,US,1741058569
2,lompoc,34.6391,-120.4579,10.94,82,0,7.2,US,1741058570
3,kyshtovka,56.555,76.6271,-16.91,93,100,0.78,RU,1741058571
4,thunder bay,48.4001,-89.3168,-3.01,86,100,0.51,CA,1741058309
5,thakurgaon,26.0333,88.4667,22.28,18,4,0.78,BD,1741058574
6,vredendal,-31.6683,18.5012,19.85,82,80,2.04,ZA,1741058576
7,port augusta,-32.5,137.7667,34.3,10,0,2.85,AU,1741058577
8,blackmans bay,-43.0167,147.3167,25.85,52,29,2.29,AU,1741058578
9,papatowai,-46.5619,169.4708,13.97,87,50,6.54,NZ,1741058580
10,flying fish cove,-10.4217,105.6791,29.82,79,51,4.63,CX,1741058581
11,karratha,-20.7377,116.8463,36.94,38,3,3.22,AU,1741058582
12,ust'-uda,54.1742,103.0304,-7.78,91,98,1.33,RU,1741058584
13,uturoa,-16.7333,-151.4333,28.2,71,36,1.39,PF,1741058585
14,georgetown,5.4112,100.3354,31.96,70,20,4.12,MY,1741058586
15,grytviken,-54.2811,-36.5092,8.35,95,100,5.81,GS,1741058587
16,acapulco de juarez,16.8634,-99.8901,26.9,69,20,4.63,MX,1741058588
17,chinde,26.8212,87.7095,23.03,25,4,1.9,NP,1741058590
18,whitehorse,60.7161,-135.0538,-0.57,74,75,3.6,CA,1741058591
19,tura,25.5198,90.2201,25.61,23,8,2.02,IN,1741058332
20,bijie,27.3125,105.2942,7.76,93,100,2.5,CN,1741058593
21,yellowknife,62.456,-114.3525,-8.71,79,75,3.09,CA,1741058560
22,wailua homesteads,22.0669,-159.378,25.44,75,40,6.69,US,1741058596
23,prince rupert,54.3161,-130.3201,6.83,86,0,2.06,CA,1741058597
24,waitangi,-43.9535,-176.5597,14.9,92,100,3.13,NZ,1741058598
25,puerto natales,-51.7236,-72.4875,4.07,95,92,1.15,CL,1741058599
26,kapuskasing,49.4169,-82.4331,-0.95,80,100,4.12,CA,1741058600
27,adamstown,-25.066,-130.1015,25.67,71,3,5.24,PN,1741058602
28,namibe,-15.1961,12.1522,22.91,80,94,1.47,AO,1741058603
29,iskateley,67.6803,53.1512,-5.01,94,100,5.99,RU,1741058604
30,ancud,-41.8697,-73.8203,14.14,79,100,7.59,CL,1741058605
31,port-aux-francais,-49.35,70.2167,4.69,81,79,14.28,TF,1741058606
32,thompson,55.7435,-97.8558,-8.91,79,100,6.69,CA,1741058354
33,keflavik,64.0049,-22.5624,7.24,81,75,12.86,IS,1741058609
34,mersing,2.4312,103.8405,30.95,74,40,2.57,MY,1741058610
35,khorinsk,52.1657,109.7726,-9.19,78,61,1.23,RU,1741058611
36,aasiaat,68.7098,-52.8699,-22.53,99,66,4.68,GL,1741058612
37,zhigalovo,54.8097,105.1578,-5.15,87,98,1.58,RU,1741058614
38,lorengau,-2.0226,147.2712,29.15,75,56,4.98,PG,1741058615
39,havre,49.5833,0.3333,2.22,93,27,1.54,FR,1741058616
40,caleta de carquin,-11.0925,-77.6267,24.19,79,95,5.06,PE,1741058617
41,invercargill,-46.4,168.35,12.79,89,74,7.6,NZ,1741058619
42,bethel,41.3712,-73.414,-1.88,69,0,0.89,US,1741058333
43,saipan,15.1355,145.701,31.39,58,20,9.77,MP,1741058621
44,enewetak,11.3474,162.3373,27.09,73,21,8.26,MH,1741058623
45,badger,64.8,-147.5333,0.0,71,40,1.54,US,1741058625
46,iqaluit,63.7506,-68.5145,-28.15,69,75,3.09,CA,1741058626
47,yorkton,51.2167,-102.4677,-0.09,80,100,4.63,CA,1741058627
48,stanley,54.868,-1.6985,5.29,89,60,2.78,GB,1741058628
49,hamilton,39.1834,-84.5333,4.94,48,22,1.34,US,1741058629
50,qaqortoq,60.7167,-46.0333,-24.18,81,3,2.04,GL,1741058632
51,san antonio de pale,-1.4014,5.6325,27.59,74,100,0.69,GQ,1741058633
52,port alfred,-33.5906,26.891,24.27,80,88,3.29,ZA,1741058634
53,atafu village,-8.5421,-172.5159,28.58,70,46,5.58,TK,1741058635
54,ribeira grande,38.5167,-28.7,12.65,89,100,0.89,PT,1741058637
55,happy valley-goose bay,53.3168,-60.3315,-17.83,78,75,4.63,CA,1741058638
56,sinop,41.7711,34.8709,-4.07,93,70,1.68,TR,1741058639
57,edinburgh of the seven seas,-37.0676,-12.3116,13.87,65,47,11.21,SH,1741058640
58,labytnangi,66.6572,66.4183,-21.41,100,100,0.91,RU,1741058642
59,igarka,67.4667,86.5833,-20.61,97,100,4.4,RU,1741058643
60,tolanaro,-25.0319,46.9987,25.04,88,40,4.12,MG,1741058644
61,port mathurin,-19.6833,63.4167,27.44,73,30,6.47,MU,1741058645
62,vernon,50.2581,-119.2691,4.74,70,91,2.06,CA,1741058647
63,tofol,5.3248,163.0078,26.88,89,100,3.09,FM,1741058648
64,hermanus,-34.4187,19.2345,22.11,94,56,2.78,ZA,1741058649
65,olonkinbyen,70.9221,-8.7187,-1.47,83,93,3.02,SJ,1741058652
66,chonchi,-42.6128,-73.8092,14.51,79,100,4.35,CL,1741058653
67,lazaro cardenas,17.9583,-102.2,23.81,75,83,2.51,MX,1741058654
68,tiksi,71.6872,128.8694,-30.46,100,76,0.42,RU,1741058655
69,port-gentil,-0.7193,8.7815,25.3,87,100,8.35,GA,1741058656
70,gumdag,39.2061,54.5906,1.47,60,100,9.1,TM,1741058658
71,ditrau,46.8167,25.5167,-1.89,88,6,1.22,RO,1741058659
72,sao joao da barra,-21.6403,-41.0511,24.73,84,5,4.34,BR,1741058660
73,ushuaia,-54.8,-68.3,7.81,49,0,3.09,AR,1741058402
74,revda,56.801,59.9303,-15.42,99,96,1.36,RU,1741058662
75,anna regina,7.2644,-58.5077,24.83,89,80,3.71,GY,1741058664
76,avarua,-21.2078,-159.775,25.03,88,100,2.57,CK,1741058665
77,lae,-6.7221,146.9847,25.44,81,100,1.83,PG,1741058666
78,campbell river,50.0163,-125.2446,8.11,93,75,0.0,CA,1741058667
79,margaret river,-33.95,115.0667,19.56,44,1,6.68,AU,1741058668
80,hammerfest,70.6634,23.6821,-0.75,93,100,2.57,NO,1741058670
81,cabo san lucas,22.8909,-109.9124,24.17,43,20,2.06,MX,1741058590
82,puerto ayora,-0.7393,-90.3518,25.86,97,100,1.41,EC,1741058673
83,maasin,10.1336,124.8447,27.32,77,99,2.0,PH,1741058675
84,katsuren-haebaru,26.3369,127.8719,23.43,79,75,1.54,JP,1741058676
85,hawaiian paradise park,19.5933,-154.9731,25.73,72,0,4.63,US,1741058677
86,tommot,58.9564,126.2925,-21.2,88,100,2.92,RU,1741058678
87,rudbar,30.15,62.6,6.42,19,0,1.81,AF,1741058679
88,kruisfontein,-34.0033,24.7314,22.17,72,100,3.18,ZA,1741058681
89,nimbahera,24.6167,74.6833,21.21,24,0,5.76,IN,1741058682
90,taltal,-25.4,-70.4833,19.01,80,11,0.93,CL,1741058683
91,puerto baquerizo moreno,-0.9,-89.6,26.42,81,99,3.02,EC,1741058684
92,tromso,69.6496,18.957,0.01,93,75,1.03,NO,1741058657
93,west island,-12.1568,96.8225,28.99,79,40,6.69,CC,1741058687
94,vilyuchinsk,52.9306,158.4028,0.15,76,91,4.7,RU,1741058688
95,susuman,62.7833,148.1667,-24.6,83,100,3.05,RU,1741058689
96,lethem,3.3803,-59.7968,27.31,64,35,5.5,GY,1741058690
97,isafjordur,66.0755,-23.124,-1.67,96,100,7.55,IS,1741058693
98,gao,16.6362,1.637,26.75,11,83,5.4,ML,1741058694
99,albany,42.6001,-73.9662,-5.12,71,29,1.25,US,1741058589
100,island harbour,50.724,-1.2758,1.52,83,1,1.73,GB,1741058696
101,kavieng,-2.5744,150.7967,29.02,72,65,5.09,PG,1741058698
102,puerto leguizamo,-0.1934,-74.7819,23.01,97,100,0.22,CO,1741058699
103,inarajan village,13.2736,144.7484,30.55,82,11,8.82,GU,1741058700
104,vorkuta,67.5,64.0,-10.1,97,100,2.7,RU,1741058701
105,brookings,44.3114,-96.7984,9.54,74,100,4.63,US,1741058702
106,vorgashor,67.5833,63.95,-10.02,97,100,2.9,RU,1741058704
107,niamey,13.5137,2.1098,27.16,24,7,2.06,NE,1741058705
108,kodiak,57.79,-152.4072,3.73,100,100,6.17,US,1741058706
109,nadym,65.5333,72.5167,-19.31,100,96,3.63,RU,1741058708
110,ouesso,1.6136,16.0517,22.04,91,72,1.02,CG,1741058709
